Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status,Fabric & Care (product.metafields.custom.fabric_care)
pure-silk-slip,Pure Silk Slip,"<p>Indulge in the ultimate luxury with our pure mulberry silk slip dress. Elegantly tailored to drape beautifully, it offers lightweight comfort for serene sleeping and lounging.</p>",Hestia,,Sleepwear,women,TRUE,Color,Champagne,Size,XS,PURE-SILK-SLIP-CHA-XS,150,shopify,25,deny,manual,12000,,TRUE,TRUE,active,DUMMY: 100% mulberry silk. Dry clean or gentle cold hand wash. Do not tumble dry. Cool iron on reverse.
pure-silk-slip,,,,,,,,Color,Champagne,Size,S,PURE-SILK-SLIP-CHA-S,150,shopify,25,deny,manual,12000,,TRUE,TRUE,,
pure-silk-slip,,,,,,,,Color,Champagne,Size,M,PURE-SILK-SLIP-CHA-M,150,shopify,25,deny,manual,12000,,TRUE,TRUE,,
pure-silk-slip,,,,,,,,Color,Champagne,Size,L,PURE-SILK-SLIP-CHA-L,150,shopify,25,deny,manual,12000,,TRUE,TRUE,,
pure-silk-slip,,,,,,,,Color,Champagne,Size,XL,PURE-SILK-SLIP-CHA-XL,150,shopify,0,deny,manual,12000,,TRUE,TRUE,,
pure-silk-slip,,,,,,,,Color,Terracotta,Size,XS,PURE-SILK-SLIP-TER-XS,150,shopify,25,deny,manual,12000,,TRUE,TRUE,,
pure-silk-slip,,,,,,,,Color,Terracotta,Size,S,PURE-SILK-SLIP-TER-S,150,shopify,25,deny,manual,12000,,TRUE,TRUE,,
pure-silk-slip,,,,,,,,Color,Terracotta,Size,M,PURE-SILK-SLIP-TER-M,150,shopify,25,deny,manual,12000,,TRUE,TRUE,,
pure-silk-slip,,,,,,,,Color,Terracotta,Size,L,PURE-SILK-SLIP-TER-L,150,shopify,25,deny,manual,12000,,TRUE,TRUE,,
pure-silk-slip,,,,,,,,Color,Terracotta,Size,XL,PURE-SILK-SLIP-TER-XL,150,shopify,25,deny,manual,12000,,TRUE,TRUE,,
pure-silk-slip,,,,,,,,Color,Charcoal,Size,XS,PURE-SILK-SLIP-CHR-XS,150,shopify,25,deny,manual,12000,,TRUE,TRUE,,
pure-silk-slip,,,,,,,,Color,Charcoal,Size,S,PURE-SILK-SLIP-CHR-S,150,shopify,25,deny,manual,12000,,TRUE,TRUE,,
pure-silk-slip,,,,,,,,Color,Charcoal,Size,M,PURE-SILK-SLIP-CHR-M,150,shopify,25,deny,manual,12000,,TRUE,TRUE,,
pure-silk-slip,,,,,,,,Color,Charcoal,Size,L,PURE-SILK-SLIP-CHR-L,150,shopify,25,deny,manual,12000,,TRUE,TRUE,,
pure-silk-slip,,,,,,,,Color,Charcoal,Size,XL,PURE-SILK-SLIP-CHR-XL,150,shopify,25,deny,manual,12000,,TRUE,TRUE,,
silk-robe,Silk Robe,<p>A flowing silk robe designed to envelope you in liquid-like softness. Perfect for slow mornings and tranquil domestic relaxation.</p>,Hestia,,Robes,together,TRUE,Size (Her),XS,Size (Him),S,SILK-ROBE-HERXS-HIMS,150,shopify,25,deny,manual,16000,,TRUE,TRUE,active,DUMMY: 100% mulberry silk. Dry clean or gentle cold hand wash. Do not tumble dry. Cool iron on reverse.
silk-robe,,,,,,,,Size (Her),XS,Size (Him),M,SILK-ROBE-HERXS-HIMM,150,shopify,25,deny,manual,16000,,TRUE,TRUE,,
silk-robe,,,,,,,,Size (Her),XS,Size (Him),L,SILK-ROBE-HERXS-HIML,150,shopify,25,deny,manual,16000,,TRUE,TRUE,,
silk-robe,,,,,,,,Size (Her),XS,Size (Him),XL,SILK-ROBE-HERXS-HIMXL,150,shopify,25,deny,manual,16000,,TRUE,TRUE,,
silk-robe,,,,,,,,Size (Her),S,Size (Him),S,SILK-ROBE-HERS-HIMS,150,shopify,25,deny,manual,16000,,TRUE,TRUE,,
silk-robe,,,,,,,,Size (Her),S,Size (Him),M,SILK-ROBE-HERS-HIMM,150,shopify,25,deny,manual,16000,,TRUE,TRUE,,
silk-robe,,,,,,,,Size (Her),S,Size (Him),L,SILK-ROBE-HERS-HIML,150,shopify,25,deny,manual,16000,,TRUE,TRUE,,
